Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone,,,,,,,,,
,,,,,European,North American,South American,ROW,Local,Continental,Qualify Prize,Group Prize,Final Prize,,,,,,,,,,
0,14,England,4.5,15000000,6,0,0,0,3,0,666667,1233333,1433333,0,,,,,,,,,
0,18,France,4.5,15000000,10,0,0,0,2,0,666667,1233333,1333333,1,,,,,,,,,
0,27,Italy,4.5,15000000,8,0,0,0,3,0,666667,1066667,1333333,1,,,,,,,,,
0,45,Spain,4.5,15000000,8,0,0,0,3,0,666667,1166667,1333333,1,,,,,,,,,
0,21,Germany,4.5,15000000,10,0,0,0,2,0,666667,1166667,1433333,1,,,,,,,,,
0,56,Colombia,4.5,20000000,6,2,2,0,2,0,733333,916667,1266667,-5,,,,,,,,,
0,55,Chile,4.5,20000000,5,1,1,0,2,0,666667,1033333,1300000,-4,,,,,,,,,
0,83,Mexico,4.5,20000000,6,1,2,0,2,0,666667,1000000,1166667,-6,,,,,,,,,
0,54,Brazil,5,20000000,7,1,1,0,2,0,833333,1166667,1400000,-3,,,,,,,,,
0,52,Argentina,5,20000000,7,1,1,0,2,0,833333,1166667,1333333,-3,,,,,,,,,
0,183,Saudi Arabia,5,20000000,7,0,0,0,2,0,1000000,1166667,1666667,3,,,,,,,,,
0,167,Korea,5,20000000,7,0,0,1,2,0,1000000,1166667,1333333,9,,,,,,,,,
0,195,Australia,5,20000000,7,0,0,1,2,0,1000000,1166667,1500000,10,,,,,,,,,
0,95,U.S. (MLS),5,20000000,7,0,1,0,2,0,1033333,1400000,1733333,-6,,,,,,,,,
0,163,Japan,5,20000000,7,0,0,1,2,0,1000000,1333333,1666667,9,,,,,,,,,
0,155,China,5,20000000,7,0,0,1,2,0,1000000,1366667,1733333,8,,,,,,,,,
1,83,Mexico,2.5,0,0,4,2,0,4,0,116667,166667,200000,-6,,,,,,,,,
1,95,U.S. (MLS),2.5,2500000,0,2,3,0,4,0,200000,300000,416667,-6,,,,,,,,,
1,56,Colombia,2.5,1000000,0,0,0,0,3,5,133333,173333,300000,-5,,,,,,,,,
1,55,Chile,2.5,2000000,0,0,0,0,3,5,150000,216667,266667,-4,,,,,,,,,
1,52,Argentina,2,2000000,0,0,0,0,4,4,166667,216667,233333,-3,,,,,,,,,
